DEPARTAMENTO;SECAO;CATEGORIA;FORNECEDOR;COD;DESCRICAO;LOJA;QTD_Venda_NOV;QTD_Venda_OUT;QTD_Venda_SET;QTD_Venda_AGO;QTD_Venda_JUL;QTD_Venda_JUN;Comprador
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;15 - GOIANIA;2120;1038;1170;1999;1135;1087;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;13 - LUZIANIA;2081;2486;1797;3183;1729;1243;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;15 - GOIANIA;2076;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;39708; LAVA ROUPAS PO OMO SCH 2,4KG LAVAG PERFT;15 - GOIANIA;1735;1256;1631;1499;1584;959;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;16 - SANTO ANTONIO;1724;1318;1433;1368;1479;1018;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;15 - GOIANIA;1537;535;138;928;780;1064;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;12 - GAMA;1286;580;0;442;338;412;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;12 - GAMA;1282;664;1839;1134;930;721;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28403; CR DENT CLOSE UP TRIPLE 70G MENTA;16 - SANTO ANTONIO;1131;1246;1011;765;930;821;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;1 - CEILANDIA;1099;912;1296;805;920;767;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;13 - LUZIANIA;1090;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;1 - CEILANDIA;1088;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51782; DESOD AERO REXONA MASC ACTIVE 200ML;13 - LUZIANIA;1079;805;974;751;692;622;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;16 - SANTO ANTONIO;1027;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;13 - LUZIANIA;1016;609;415;826;862;1044;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28402; CR DENT CLOSE UP TRIPLE 70G MENTA AMERIC;16 - SANTO ANTONIO;986;1048;1073;677;599;719;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28403; CR DENT CLOSE UP TRIPLE 70G MENTA;13 - LUZIANIA;981;1203;535;719;1264;969;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28402; CR DENT CLOSE UP TRIPLE 70G MENTA AMERIC;1 - CEILANDIA;895;739;880;623;691;839;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;12 - GAMA;849;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;CONSERVA E ENLATADO;MILHO VERDE;5986 - UNILEVER BRASIL LTDA;33458; MILHO VERDE KNORR EM CONSERVA 170G;15 - GOIANIA;823;1741;2916;5660;4115;6912;ALESSANDRO MORAIS GONÇALVES
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;49577; LAVA ROUPAS PO BRILHANTE CX 1,6KG LIMP;15 - GOIANIA;805;1613;1283;1691;1391;1123;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34915; SAB LUX ORQUIDEA NEGRA 85G;15 - GOIANIA;774;720;595;1007;570;493;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;5821; SAB DOVE REGULAR 90GR;13 - LUZIANIA;770;762;778;694;677;534;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;39708; LAVA ROUPAS PO OMO SCH 2,4KG LAVAG PERFT;13 - LUZIANIA;760;359;892;1330;790;809;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28401; CR DENT CLOSE UP TRIPLE 70G HORTELA;16 - SANTO ANTONIO;746;840;763;435;595;602;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;43199; MAIONESE HELLMANNS 657G TRAD;13 - LUZIANIA;738;1160;1343;1014;829;731;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34915; SAB LUX ORQUIDEA NEGRA 85G;13 - LUZIANIA;723;857;495;1211;556;664;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37974; LAVA ROUPAS PO OMO CX 1,6KG LAVAG PERFT;13 - LUZIANIA;721;128;1370;835;1094;255;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;16 - SANTO ANTONIO;693;418;117;477;452;578;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28401; CR DENT CLOSE UP TRIPLE 70G HORTELA;13 - LUZIANIA;661;725;566;450;790;779;NATHALIA VERAS RODRIGUES DE MEDEIROS
